text,service_type,sentiment
The 5G Service is neither good nor bad.,Service Activation,Neutral
The Mobile Network is functioning.,Mobile Network,Neutral
The Billing seems stable for now.,Billing & Payments,Neutral
Average experience with the 5G Service.,Service Activation,Neutral
The 5G Service seems stable for now.,Service Activation,Neutral
The Fiber Broadband is functioning.,Broadband Service,Neutral
The Mobile Network works as expected.,Mobile Network,Neutral
Using the Customer Support without major complaints.,Customer Support,Neutral
The Billing is neither good nor bad.,Billing & Payments,Neutral
The Mobile Network is functioning.,Mobile Network,Neutral
No major issues with the Billing.,Billing & Payments,Neutral
The Mobile Network is acceptable.,Mobile Network,Neutral
The Mobile Network is acceptable.,Mobile Network,Neutral
No major issues with the Fiber Broadband.,Broadband Service,Neutral
The Fiber Broadband is functioning.,Broadband Service,Neutral
The Fiber Broadband works as expected.,Broadband Service,Neutral
The Customer Support is functioning.,Customer Support,Neutral
The Billing is okay.,Billing & Payments,Neutral
The Mobile Network works as expected.,Mobile Network,Neutral
The Customer Support works as expected.,Customer Support,Neutral
The Fiber Broadband seems stable for now.,Broadband Service,Neutral
The Mobile Network is functioning.,Mobile Network,Neutral
Average experience with the Fiber Broadband.,Broadband Service,Neutral
The Mobile Network is functioning.,Mobile Network,Neutral
Using the Fiber Broadband without major complaints.,Broadband Service,Neutral
The Billing is okay.,Billing & Payments,Neutral
No major issues with the Billing.,Billing & Payments,Neutral
The 5G Service performance is normal.,Service Activation,Neutral
The Fiber Broadband is functioning.,Broadband Service,Neutral
The Mobile Network is functioning.,Mobile Network,Neutral
The Fiber Broadband performance is normal.,Broadband Service,Neutral
The 5G Service seems stable for now.,Service Activation,Neutral
The 5G Service is okay.,Service Activation,Neutral
The Fiber Broadband is neither good nor bad.,Broadband Service,Neutral
The Mobile Network seems stable for now.,Mobile Network,Neutral
The 5G Service seems stable for now.,Service Activation,Neutral
The Fiber Broadband is okay.,Broadband Service,Neutral
Using the 5G Service without major complaints.,Service Activation,Neutral
Average experience with the 5G Service.,Service Activation,Neutral
Average experience with the Mobile Network.,Mobile Network,Neutral
The 5G Service is functioning.,Service Activation,Neutral
Average experience with the Billing.,Billing & Payments,Neutral
The Mobile Network performance is normal.,Mobile Network,Neutral
The 5G Service is okay.,Service Activation,Neutral
The Mobile Network works as expected.,Mobile Network,Neutral
The 5G Service performance is normal.,Service Activation,Neutral
The Fiber Broadband is neither good nor bad.,Broadband Service,Neutral
Using the 5G Service without major complaints.,Service Activation,Neutral
No major issues with the 5G Service.,Service Activation,Neutral
The Customer Support works as expected.,Customer Support,Neutral
Average experience with the 5G Service.,Service Activation,Neutral
The Mobile Network performance is normal.,Mobile Network,Neutral
No major issues with the Mobile Network.,Mobile Network,Neutral
The Fiber Broadband performance is normal.,Broadband Service,Neutral
The Billing seems stable for now.,Billing & Payments,Neutral
No major issues with the 5G Service.,Service Activation,Neutral
The Fiber Broadband is okay.,Broadband Service,Neutral
The Fiber Broadband performance is normal.,Broadband Service,Neutral
The 5G Service is functioning.,Service Activation,Neutral
Using the Fiber Broadband without major complaints.,Broadband Service,Neutral
The Customer Support works as expected.,Customer Support,Neutral
No major issues with the Billing.,Billing & Payments,Neutral
The Mobile Network is neither good nor bad.,Mobile Network,Neutral
The Mobile Network is functioning.,Mobile Network,Neutral
The Mobile Network is neither good nor bad.,Mobile Network,Neutral
Using the Customer Support without major complaints.,Customer Support,Neutral
The Customer Support is neither good nor bad.,Customer Support,Neutral
The Billing is okay.,Billing & Payments,Neutral
The Billing performance is normal.,Billing & Payments,Neutral
The Fiber Broadband performance is normal.,Broadband Service,Neutral
No major issues with the Mobile Network.,Mobile Network,Neutral
The Mobile Network is acceptable.,Mobile Network,Neutral
The Billing seems stable for now.,Billing & Payments,Neutral
The Fiber Broadband works as expected.,Broadband Service,Neutral
The Billing is okay.,Billing & Payments,Neutral
The Billing seems stable for now.,Billing & Payments,Neutral
The Customer Support is functioning.,Customer Support,Neutral
The Fiber Broadband is functioning.,Broadband Service,Neutral
The Mobile Network performance is normal.,Mobile Network,Neutral
The Customer Support is acceptable.,Customer Support,Neutral
The Customer Support is acceptable.,Customer Support,Neutral
Average experience with the 5G Service.,Service Activation,Neutral
Average experience with the Mobile Network.,Mobile Network,Neutral
The Billing is okay.,Billing & Payments,Neutral
The Customer Support is functioning.,Customer Support,Neutral
The Billing works as expected.,Billing & Payments,Neutral
The Mobile Network is neither good nor bad.,Mobile Network,Neutral
The Mobile Network is acceptable.,Mobile Network,Neutral
The 5G Service is okay.,Service Activation,Neutral
The Mobile Network seems stable for now.,Mobile Network,Neutral
The 5G Service is okay.,Service Activation,Neutral
The Billing seems stable for now.,Billing & Payments,Neutral
No major issues with the Mobile Network.,Mobile Network,Neutral
The 5G Service is acceptable.,Service Activation,Neutral
Using the Billing without major complaints.,Billing & Payments,Neutral
Average experience with the Fiber Broadband.,Broadband Service,Neutral
Average experience with the Fiber Broadband.,Broadband Service,Neutral
The 5G Service is functioning.,Service Activation,Neutral
Average experience with the Customer Support.,Customer Support,Neutral
The Customer Support performance is normal.,Customer Support,Neutral
The Billing seems stable for now.,Billing & Payments,Neutral
Average experience with the Billing.,Billing & Payments,Neutral
No major issues with the 5G Service.,Service Activation,Neutral
The Mobile Network seems stable for now.,Mobile Network,Neutral
The Customer Support is okay.,Customer Support,Neutral
Average experience with the Fiber Broadband.,Broadband Service,Neutral
Using the Customer Support without major complaints.,Customer Support,Neutral
Average experience with the 5G Service.,Service Activation,Neutral
The Billing performance is normal.,Billing & Payments,Neutral
The 5G Service is functioning.,Service Activation,Neutral
The Customer Support is acceptable.,Customer Support,Neutral
The Fiber Broadband seems stable for now.,Broadband Service,Neutral
The Customer Support is okay.,Customer Support,Neutral
Using the Customer Support without major complaints.,Customer Support,Neutral
The Mobile Network seems stable for now.,Mobile Network,Neutral
The Billing performance is normal.,Billing & Payments,Neutral
Average experience with the 5G Service.,Service Activation,Neutral
The 5G Service is okay.,Service Activation,Neutral
The 5G Service seems stable for now.,Service Activation,Neutral
The Fiber Broadband performance is normal.,Broadband Service,Neutral
Using the Fiber Broadband without major complaints.,Broadband Service,Neutral
The Fiber Broadband performance is normal.,Broadband Service,Neutral
The Billing is functioning.,Billing & Payments,Neutral
No major issues with the Billing.,Billing & Payments,Neutral
The Billing is functioning.,Billing & Payments,Neutral
Average experience with the Fiber Broadband.,Broadband Service,Neutral
The Customer Support is functioning.,Customer Support,Neutral
Average experience with the Customer Support.,Customer Support,Neutral
The Mobile Network is neither good nor bad.,Mobile Network,Neutral
The Customer Support is neither good nor bad.,Customer Support,Neutral
The Mobile Network is acceptable.,Mobile Network,Neutral
Average experience with the 5G Service.,Service Activation,Neutral
The Customer Support is acceptable.,Customer Support,Neutral
The Customer Support seems stable for now.,Customer Support,Neutral
The Customer Support is neither good nor bad.,Customer Support,Neutral
The Customer Support works as expected.,Customer Support,Neutral
The Fiber Broadband is acceptable.,Broadband Service,Neutral
The Fiber Broadband is okay.,Broadband Service,Neutral
Using the Billing without major complaints.,Billing & Payments,Neutral
Using the Mobile Network without major complaints.,Mobile Network,Neutral
No major issues with the Customer Support.,Customer Support,Neutral
The Fiber Broadband seems stable for now.,Broadband Service,Neutral
The Mobile Network performance is normal.,Mobile Network,Neutral
The Mobile Network is neither good nor bad.,Mobile Network,Neutral
The Billing seems stable for now.,Billing & Payments,Neutral
The Mobile Network works as expected.,Mobile Network,Neutral
Average experience with the Billing.,Billing & Payments,Neutral
The Customer Support works as expected.,Customer Support,Neutral
The 5G Service is okay.,Service Activation,Neutral
The Fiber Broadband is acceptable.,Broadband Service,Neutral
Using the 5G Service without major complaints.,Service Activation,Neutral
Average experience with the Billing.,Billing & Payments,Neutral
Average experience with the Mobile Network.,Mobile Network,Neutral
The Billing seems stable for now.,Billing & Payments,Neutral
The Billing seems stable for now.,Billing & Payments,Neutral
